"FECINICIO"|"FECFIN"|"VLRPRISUSCR"|"VLRASEGU"|"VLRASEGURC"|"PTD"|"PPD"|"PH"|"PPH"|"RC"
2019-01-03|2019-01-03|0|23400000|1.2e+09|1|1|1|1|0
2019-01-03|2020-01-03|1853730|47900000|1.2e+09|1|1|1|1|0
2019-01-03|2020-01-03|1325120|20200000|1.2e+09|1|1|1|1|0
2019-01-03|2019-07-18|781851|32500000|1.2e+09|1|1|1|1|0
2019-01-03|2020-01-03|1272641|19400000|1.2e+09|1|1|1|1|0
2019-01-03|2020-01-03|1292000|32300000|1.2e+09|1|1|1|1|0
2019-01-03|2020-01-03|2167700|5.3e+07|1.2e+09|1|1|1|1|0
2019-01-03|2019-11-03|1851984|5.1e+07|1.2e+09|1|1|1|1|1
2019-01-03|2019-12-08|878949|40100000|4e+09|1|1|1|1|1
2019-01-03|2019-09-20|1479008|119900000|4e+09|1|1|1|1|1
2019-01-03|2020-01-03|981358|1.4e+07|1.2e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|53500000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1203601|3.4e+07|8e+08|1|1|1|1|1
2019-01-03|2019-08-31|944150|26400000|2e+09|1|1|1|1|1
2019-01-03|2019-08-31|1226583|25200000|2e+09|1|1|1|1|1
2019-01-03|2019-08-31|1120710|36500000|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1800000|119990000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1924760|43900000|1.2e+09|1|1|1|1|1
2019-01-03|2019-09-30|480823|23400000|3e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|34500000|8e+08|1|1|1|1|1
2019-01-03|2019-01-03|0|1.01e+08|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1188852|29500000|8e+08|1|1|1|1|1
2019-01-03|2019-08-31|476712|20900000|2e+09|1|1|1|1|1
2019-01-03|2019-03-01|126243|23500000|2e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|45700000|3e+09|1|1|1|1|1
2019-01-03|2019-11-03|1152652|23500000|2e+09|1|1|1|1|1
2019-01-03|2019-09-20|886523|38600000|1e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|46519600|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|462107|84800000|8e+08|0|0|0|0|1
2019-01-03|2020-01-03|3181998|1.48e+08|1.2e+09|1|1|1|1|1
2019-01-03|2019-09-20|835812|37900000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33530000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1697000|54145000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33080200|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|37230000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1697000|65145000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33530000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1657000|72490000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1697000|60745000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|42690000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1414000|49990000|2e+09|1|1|1|1|1
2019-01-03|2019-10-11|1275665|72490000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|37730000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1697000|58990000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|42659100|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1414000|51390000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|32930000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33530000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|42510000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33530000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|45789250|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|42010000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1697000|64145000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|36490000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33480000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1697000|54645000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|5.2e+07|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1414000|48490300|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|43190000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33530000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|43090000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|43090000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|32930000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|32524100|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|43029350|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|4.7e+07|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|885310|21900000|3e+09|1|1|1|1|1
2019-01-03|2019-11-02|833297|37600000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1956133|72990000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1530012|57090000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1607733|59990000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1465527|48050000|8e+08|1|1|1|1|1
2019-01-03|2019-11-03|853889|20100000|1.2e+09|1|1|1|1|1
2019-01-03|2019-03-27|307208|31800000|1.2e+09|1|1|1|1|1
2019-01-03|2019-05-28|440208|25600000|1.2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1256806|37800000|1.2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1291561|38900000|1.2e+09|1|1|1|1|1
2019-01-03|2020-01-03|2217558|40990000|1.2e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|53500000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1507600|37690000|1.2e+09|1|1|1|1|1
2019-01-03|2019-06-03|565690|33270000|1.2e+09|1|1|1|1|1
2019-01-03|2020-01-03|2135963|48989999|1.2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1371000|45700000|3e+09|1|1|1|1|1
2019-01-03|2019-01-09|24429|38500000|1.2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1384791|39600000|1.2e+09|1|1|1|1|1
2019-01-03|2019-04-01|247397|39600000|3e+09|1|1|1|1|1
2019-01-03|2019-08-20|430872|22200000|3e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|40100000|3e+09|1|1|1|1|1
2019-01-03|2019-08-15|552329|36500000|3e+09|1|1|1|1|1
2019-01-03|2019-08-15|552329|36500000|3e+09|1|1|1|1|1
2019-01-03|2019-08-15|552329|36500000|3e+09|1|1|1|1|1
2019-01-03|2019-08-15|552329|36500000|3e+09|1|1|1|1|1
2019-01-03|2019-11-03|883633|19100000|1.2e+09|1|1|1|1|1
2019-01-03|2019-11-14|674223|3.1e+07|0|1|1|1|1|0
2019-01-03|2019-01-03|0|121800000|1e+09|1|1|1|1|1
2019-01-03|2020-02-03|0|105600000|3e+09|1|1|1|1|0
2019-01-03|2019-01-03|0|121800000|1e+09|1|1|1|1|1
2019-01-03|2020-01-03|1453328|19500000|1.5e+09|1|1|1|1|1
2019-01-03|2020-02-03|0|28400000|499950000|1|1|1|1|1
2019-01-03|2020-02-03|0|1.32e+08|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|2329903|147882001|3e+09|1|1|1|1|0
2019-01-03|2020-03-04|1755619|32600000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1582851|33500000|8e+08|1|1|1|1|1
2019-01-03|2019-05-19|2231053|99400000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1906546|31300000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1676761|35600000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1369000|45100000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|41620000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33500000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1379000|43090000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33600000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33500000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|1369000|33600000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|2155453|63960000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|1840441|37560000|8e+08|1|1|1|1|1
2019-01-03|2020-01-03|4202834|125700000|1e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|63800000|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1420636|46950000|2e+09|1|1|1|1|1
2019-01-03|2019-09-20|886912|37730000|8e+08|1|1|1|1|1
2019-01-03|2019-07-26|799392|47450000|2e+09|1|1|1|1|1
2019-01-03|2020-06-19|1516945|44553000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|992976|30700000|2e+09|1|1|1|1|1
2019-01-03|2020-07-17|1284098|46100000|2e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|54645000|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1717585|5.2e+07|2e+09|1|1|1|1|0
2019-01-03|2019-01-03|0|80300000|3e+09|1|1|1|1|1
2019-01-03|2019-07-26|817331|40700000|2e+09|1|1|1|1|1
2019-01-03|2019-04-26|517725|54645000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1431730|63800000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1177470|32100000|999900000|1|1|1|1|1
2019-01-03|2020-01-03|1479713|49600000|3e+09|1|1|1|1|1
2019-01-03|2019-01-03|0|25100000|3e+09|1|1|1|1|0
2019-01-03|2019-05-22|694071|8.7e+07|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|716280|28200000|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|760380|26100000|2e+09|1|1|1|1|1
2019-01-03|2019-07-26|1340990|90200000|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1022134|1.9e+07|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|0|33500000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1316465|62220000|3e+09|1|1|1|1|1
2019-01-03|2019-11-18|882070|33500000|5e+08|1|1|1|1|1
2019-01-03|2019-10-12|2093451|46230000|2e+09|1|1|1|1|0
2019-01-03|2019-12-01|409312|9900000|2e+08|1|1|1|1|1
2019-01-03|2019-12-01|1787239|5.9e+07|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1155000|4.2e+07|3e+09|1|1|1|1|1
2019-01-03|2019-12-01|951310|44600000|3e+09|1|1|1|1|1
2019-01-03|2019-07-26|689922|36200000|3e+09|1|1|1|1|1
2019-01-03|2019-12-01|1453842|42600000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|2997532|201999999|3e+09|1|1|1|1|1
2019-01-03|2019-08-01|1088485|81900000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|2429369|115400000|3e+09|1|1|1|1|1
2019-01-03|2020-02-03|0|53800000|1.5e+09|1|1|1|1|1
2019-01-03|2020-01-03|1874525|92700000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|781024|16600000|3e+09|1|1|1|1|1
2019-01-03|2020-02-03|0|2.1e+07|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|912783|21800000|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|903100|2.7e+07|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1824122|41989999|3e+09|1|1|1|1|1
2019-01-03|2020-01-03|1238934|14900000|7.5e+08|1|1|1|1|1
2019-01-03|2020-01-03|1294865|24400000|2e+09|1|1|1|1|1
2019-01-03|2019-05-24|340057|24400000|1e+09|1|1|1|1|0
2019-01-03|2020-01-03|1203471|54590000|3e+09|1|1|1|1|1
2019-01-03|2019-05-24|332619|11500000|2e+09|1|1|1|1|0
2019-01-03|2020-07-28|914486|36600000|2e+09|1|1|1|1|1
2019-01-03|2019-02-01|998639|88600000|1.5e+09|1|1|1|1|1
2019-01-03|2020-01-03|705847|18300000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|935921|17300000|1.5e+09|1|1|1|1|1
2019-01-03|2020-01-03|1216619|36500000|2e+09|1|1|1|1|1
2019-01-03|2019-06-07|398923|28500000|1.5e+09|1|1|1|1|1
2019-01-03|2019-09-25|3933320|74200000|2e+09|1|1|1|1|1
2019-01-03|2020-01-03|2653824|50110000|1e+09|1|1|1|1|1
2019-01-03|2019-04-26|372103|7.2e+07|2e+09|1|1|1|1|1
2019-01-03|2019-03-31|353732|33500000|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1422000|3e+07|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1422000|3e+07|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|4277724|160100000|3e+09|1|1|1|1|0
2019-01-03|2019-12-26|2241321|78400000|2e+09|1|1|1|1|0
2019-01-03|2019-07-11|1302870|89700000|2e+09|1|1|1|1|0
2019-01-03|2019-05-01|672955|53300000|2e+09|1|1|1|1|0
2019-01-03|2019-12-30|1471513|42800000|2e+09|1|1|1|1|0
2019-01-03|2020-01-03|1066589|35800000|2e+09|1|1|1|1|0
2019-01-03|2020-02-12|1111200|61800000|2e+09|1|1|1|1|0
2019-01-03|2020-02-03|0|38200000|1e+09|0|0|0|0|0
2019-01-03|2020-02-03|0|3.7e+07|3e+09|1|1|1|1|0
2019-01-03|2020-01-03|1707351|70200000|3e+09|1|1|1|1|1
2019-01-03|2019-03-10|130115|2e+07|1.5e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|41100000|8e+08|1|1|1|1|1
2019-01-04|2020-08-05|1817647|74400000|3e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|35600000|3e+09|1|1|1|1|0
2019-01-04|2020-01-04|1719637|59500000|2e+09|1|1|1|1|1
2019-01-04|2019-04-26|625705|47200000|3e+09|1|1|1|1|1
2019-01-04|2019-07-01|523329|27900000|3e+09|1|1|1|1|1
2019-01-04|2020-02-04|0|64200000|2e+09|1|1|1|1|0
2019-01-04|2020-02-04|0|20700000|1e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|44300000|2e+09|1|1|1|1|0
2019-01-04|2020-02-04|0|48700000|2e+09|1|1|1|1|1
2019-01-04|2020-07-17|1640230|30900000|3e+09|1|1|1|1|0
2019-01-04|2019-01-04|0|49265700|8e+08|1|1|1|1|1
2019-01-04|2020-01-04|1369000|50890000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1369000|33530000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1369000|38230000|2e+09|1|1|1|1|1
2019-01-04|2020-02-04|0|77100000|500100000|1|1|1|1|1
2019-01-04|2020-01-04|2493682|104490000|3e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|26100000|8e+08|1|1|1|1|1
2019-01-04|2019-01-04|0|4e+07|8e+08|1|1|1|1|1
2019-01-04|2019-01-04|0|38700000|8e+08|1|1|1|1|1
2019-01-04|2020-01-04|1601329|44200000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1369000|32490000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1379000|41581850|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1369000|32490000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1697000|65145000|2e+09|1|1|1|1|1
2019-01-04|2019-02-16|2805963|34100000|2e+09|1|1|1|1|1
2019-01-04|2020-10-10|1825897|45990000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|1559337|58900000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1942367|68500000|3e+09|1|1|1|1|0
2019-01-04|2019-04-17|551280|61400000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|2142985|55300000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1103878|12200000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1998042|73300000|2e+09|1|1|1|1|1
2019-01-04|2020-02-04|0|40600000|3e+09|1|1|1|1|0
2019-01-04|2019-01-04|0|22200000|1.5e+09|1|1|1|1|1
2019-01-04|2020-01-04|2574539|62500000|1.5e+09|1|1|1|1|1
2019-01-04|2020-01-04|2079040|49490001|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1055851|15800000|3e+09|1|1|1|1|0
2019-01-04|2020-01-04|2844382|151300000|3e+09|1|1|1|1|0
2019-01-04|2019-11-04|831820|36990000|3e+09|1|1|1|1|1
2019-01-04|2019-05-24|724174|20600000|2e+09|1|1|1|1|1
2019-01-04|2020-12-24|1741994|26700000|3e+09|1|1|1|1|0
2019-01-04|2020-09-13|3250072|71100000|3e+09|1|1|1|1|0
2019-01-04|2019-05-24|668125|59400000|3e+09|1|1|1|1|0
2019-01-04|2020-01-04|1817647|74400000|3e+09|1|1|1|1|1
2019-01-04|2019-12-29|1965991|23600000|2e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|24300000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|1684848|35590000|3e+09|1|1|1|1|0
2019-01-04|2020-01-04|2065852|4.2e+07|3e+09|1|1|1|1|0
2019-01-04|2020-03-09|1299083|26600000|1.5e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|4e+07|8e+08|1|1|1|1|1
2019-01-04|2020-01-04|1776268|45300000|1e+09|1|1|1|1|0
2019-01-04|2019-05-10|532778|25500000|3e+09|1|1|1|1|0
2019-01-04|2020-01-04|1401051|27200000|1e+09|1|1|1|1|1
2019-01-04|2020-03-06|1203835|29700000|3e+09|1|1|1|1|0
2019-01-04|2020-02-04|0|19900000|1000200000|1|1|1|1|0
2019-01-04|2019-04-26|214795|15500000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|2239107|54300000|3e+09|1|1|1|1|0
2019-01-04|2019-05-24|281929|21300000|3e+09|1|1|1|1|1
2019-01-04|2019-06-21|494965|11100000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|2500577|54300000|500100000|1|1|1|1|1
2019-01-04|2020-02-04|0|25600000|999900000|1|1|1|1|0
2019-01-04|2020-01-04|1817041|67800000|8e+08|1|1|1|1|1
2019-01-04|2020-01-04|2108252|44384200|8e+08|1|1|1|1|1
2019-01-04|2019-01-04|0|19100000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|1050903|33800000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1041377|25800000|3e+09|1|1|1|1|1
2019-01-04|2020-01-04|1744475|115300000|1.5e+09|1|1|1|1|0
2019-01-04|2020-05-15|1013497|16600000|1000|1|1|1|1|1
2019-01-04|2019-07-26|1039035|55300000|1.5e+09|1|1|1|1|1
2019-01-04|2019-01-04|0|59450000|3e+09|1|1|1|1|1
2019-01-04|2020-02-04|0|30600000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1379000|48150000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1369000|3.3e+07|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1369000|3.3e+07|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|1722133|122990000|2e+09|1|1|1|1|1
2019-01-04|2020-01-04|693420|12700000|2e+09|1|1|1|1|0
