"FECHASIN"|"VLRPRIMAPAG"|"VLRPRISUSCR"|"VLRASEGU"|"VLRASEGU_ORIG"|"VLRPAGADO."|"VLRSININCUR"|"VLRDEDUCIBLE"|"VLRRECOBRO"|"VLRRSVACONSTIAMP"|"VLRRSVAPAGAMP"|"FECPAGOAMP"|"ESTADO_FINAL"|"COBERTURA_FINAL"
2017-01-01|300000|300000|4350000|4350000|0|3262500|870000|0|4350000|3480000|20171220|"Pagado"|"PTH"
2017-01-01|5543164|16639492|8.4e+07|8.4e+07|4601532|4601532|737717|0|8.4e+07|0|20170215|"Pagado"|"PPD"
2017-01-01|1072019|1072019|52550000|52550000|3375620|3375620|737717|375909|52550000|0|20170131|"Pagado"|"PPD"
2017-01-01|958821|958821|34490000|34490000|3600357|3600357|737717|0|34490000|0|20170131|"Pagado"|"PPD"
2017-01-01|714176|3398721|2e+09|2e+09|0|2175223|0|1241379|2e+09|2175223|NA|"Avisado"|"PPD"
2017-01-01|1681845|5193649|1.5e+09|1.5e+09|1569899|1569899|737717|0|1.5e+09|0|20170213|"Pagado"|"PPD"
2017-01-01|2926237|3055453|61600000|61600000|756554|756554|737717|0|61600000|0|20170209|"Pagado"|"PPD"
2017-01-01|1395000|1395000|47990000|47990000|2291036|2291036|737717|2981579|47990000|0|20170225|"Pagado"|"PPD"
2017-01-01|0|477208|2e+09|2e+09|929031|929031|737717|0|2e+09|0|20170208|"Pagado"|"PPD"
2017-01-01|1786119|1786119|63790000|63790000|596000|596000|737717|0|63790000|0|20170317|"Pagado"|"PPD"
2017-01-01|2621589|6953360|3e+09|3e+09|1163667|1163667|737717|0|3e+09|0|20170214|"Pagado"|"PPD"
2017-01-01|1194980|1307390|26110000|26110000|1506682|1506682|737717|0|26110000|0|20170209|"Pagado"|"PPD"
2017-01-01|1269288|1384678|3.4e+07|3.4e+07|0|2486343|737717|0|3.4e+07|2754597|20170224|"Pagado"|"PPD"
2017-01-01|1314346|1439139|31990000|31990000|0|725219|229864|1946078|31990000|725219|NA|"Avisado"|"PPD"
2017-01-01|990119|2376280|1.49e+08|1.49e+08|13424767|13424767|840814|200000|1.49e+08|0|20170225|"Pagado"|"PPD"
2017-01-01|1336471|1463559|34490000|34490000|393240|393240|737717|0|34490000|0|20170207|"Pagado"|"PPD"
2017-01-01|1395000|1395000|48050000|48050000|748610|748610|737717|0|48050000|0|20170228|"Pagado"|"PPD"
2017-01-01|1336471|1463559|34490000|34490000|1395754|1395754|737717|0|34490000|0|20170213|"Pagado"|"PPD"
2017-01-01|803075|2460004|3e+09|3e+09|650000|650000|0|4179707|3e+09|0|20170207|"Pagado"|"RC BIENES"
2017-01-01|1315000|1315000|56490000|56490000|2238376|2238376|737717|0|56490000|0|20170208|"Pagado"|"PPD"
2017-01-01|1596819|1741744|59990000|59990000|195694|195694|737717|0|59990000|0|20170214|"Pagado"|"PPD"
2017-01-01|556021|1112047|28660960|28660960|295371|295371|737717|4179707|28660960|0|20170130|"Pagado"|"PPD"
2017-01-01|3387763|6884512|3e+09|3e+09|2174030|2174030|737717|0|3e+09|0|20170207|"Pagado"|"PPD"
2017-01-01|1069284|1069284|3e+09|3e+09|1413783|1413783|737717|0|3e+09|0|20170214|"Pagado"|"PPD"
2017-01-01|543041|1303290|49600000|49600000|8444800|8444800|0|0|49600000|0|20170227|"Pagado"|"PPD"
2017-01-01|9925359|18740716|6e+07|6e+07|2109493|2109493|737717|19985182|6e+07|0|20170507|"Pagado"|"PPD"
2017-01-01|730079|730079|3e+07|3e+07|2227975|2227975|737717|0|3e+07|0|20170213|"Pagado"|"PPD"
2017-01-01|1265000|1265000|34190000|34190000|3250400|3250400|737717|0|34190000|0|20170131|"Pagado"|"PPD"
2017-01-01|1145000|1145000|37940000|37940000|1887140|1887140|737717|825137|37940000|0|20170131|"Pagado"|"PPD"
2017-01-01|1575727|2559381|1e+09|1e+09|1422805|1422805|737717|0|1e+09|0|20170227|"Pagado"|"PPD"
2017-01-01|2621438|4203500|5e+07|5e+07|2598414|2598414|737717|0|5e+07|0|20170222|"Pagado"|"PPD"
2017-01-01|600000|584200|3e+07|3e+07|6568726|6568726|838433|0|3e+07|0|20170425|"Pagado"|"PPD"
2017-01-01|4397760|10107484|51500000|51500000|1845560|1845560|737717|0|51500000|0|20170128|"Pagado"|"PPD"
2017-01-01|3055085|8017682|3e+09|3e+09|1985332|1985332|0|0|3e+09|0|20170518|"Pagado"|"PPD"
2017-01-01|341775|1367100|4.9e+07|4.9e+07|1125354|1125354|737717|0|4.9e+07|0|20170131|"Pagado"|"PPD"
2017-01-01|58326|585151|3e+09|3e+09|5362207|5362207|737717|66680|3e+09|0|20170201|"Pagado"|"PPD"
2017-01-01|3762402|10520486|64600000|64600000|0|10001356|8224990|0|64600000|2175223|20170928|"Pagado"|"PPD"
2017-01-01|1402404|1402404|55200000|55200000|1327079|1327079|737717|0|55200000|0|20170227|"Pagado"|"PPD"
2017-01-01|1395000|1395000|43750000|43750000|281703|281703|0|0|43750000|0|20170330|"Pagado"|"PPD"
2017-01-01|1824900|1824900|7.7e+07|7.7e+07|1521312|1521312|737717|0|7.7e+07|0|20170130|"Pagado"|"PPD"
2017-01-01|1415540|1550833|44837344|44837344|482803|482803|737717|815556|44837344|0|20170131|"Pagado"|"PPD"
2017-01-01|1395000|1395000|43690000|43690000|2588391|2588391|737717|50000|43690000|0|20170131|"Pagado"|"PPD"
2017-01-01|3095659|10205331|2e+09|2e+09|4530805|4530805|737717|0|2e+09|0|20170222|"Pagado"|"PPD"
2017-01-01|1101470|7921340|85900000|85900000|6584997|6584997|0|0|85900000|0|20170215|"Pagado"|"PPD"
2017-01-01|1304943|3237376|44240000|44240000|5735676|5735676|758384|0|44240000|0|20170209|"Pagado"|"PPD"
2017-01-01|1265000|1265000|37940000|37940000|17479044|17479044|2311118|462724|37940000|0|20170331|"Pagado"|"PPD"
2017-01-01|1182819|1182819|25300000|25300000|1152087|2339862|0|462724|25300000|1187775|20170224|"Avisado"|"PPD"
2017-01-01|628231|942347|3e+09|3e+09|4886563|4886563|737717|6544899|3e+09|0|20170127|"Pagado"|"PPD"
2017-01-01|1487251|1487251|59490000|59490000|0|8721467|0|0|59490000|2754597|20170221|"Pagado"|"PPD"
2017-01-01|1145000|1145000|37940000|37940000|2155751|2155751|737717|289076|37940000|0|20170331|"Pagado"|"PPD"
2017-01-01|0|0|0|0|147543|147543|0|1392671|0|0|20170228|"Pagado"|"RC BIENES"
2017-01-01|600000|538230|3e+07|3e+07|0|0|737717|0|3e+07|2134666|NA|"Desistido"|"PPD"
2017-01-01|2500000|3000000|1.2e+08|1.2e+08|2933256|2933256|737717|0|1.2e+08|0|20170511|"Pagado"|"PPD"
2017-01-01|166664|346151|4300000|4300000|360170|360170|0|205517|4300000|0|20170222|"Pagado"|"PPD"
2017-01-01|1458463|1458463|34360000|34360000|0|334745|0|1469605|34360000|334745|NA|"Avisado"|"PPD"
2017-01-02|4536129|5396508|35700000|35700000|0|0|1475434|0|35700000|2134666|NA|"Pagado"|"PPD"
2017-01-02|1100000|1100000|29490000|29490000|0|2134666|0|0|29490000|2134666|NA|"Avisado"|"PPD"
2017-01-02|2109791|4617098|6e+07|6e+07|0|1381306|737717|2755690|6e+07|1381306|NA|"Avisado"|"PPD"
2017-01-02|1145000|1145000|34190000|34190000|7158301|7158301|0|0|34190000|0|20170208|"Pagado"|"PPD"
2017-01-02|1316000|1316000|4e+07|4e+07|2975805|2975805|737717|0|4e+07|0|20170227|"Pagado"|"PPD"
2017-01-02|737041|2763900|8.3e+07|8.3e+07|1763854|1763854|737717|203448|8.3e+07|0|20170209|"Pagado"|"PPD"
2017-01-02|1128563|1128563|33490000|33490000|4454819|4454819|737717|2477970|33490000|0|20170126|"Pagado"|"PPD"
2017-01-02|831741|907354|27330000|27330000|0|4708507|737717|0|27330000|2754597|20170228|"Pagado"|"PPD"
2017-01-02|2976148|5997939|39400000|39400000|2190093|2190093|737717|0|39400000|0|20170127|"Pagado"|"PPD"
2017-01-02|866396|866396|23700000|23700000|1297811|1297811|737717|150000|23700000|0|20170126|"Pagado"|"PPD"
2017-01-02|1657321|3314647|3e+09|3e+09|1462823|1462823|0|0|3e+09|0|20170213|"Pagado"|"RC BIENES"
2017-01-02|3487986|5789052|26800000|26800000|695302|695302|737717|0|26800000|0|20170227|"Pagado"|"PPD"
2017-01-02|7645457|16528743|37700000|37700000|100500|100500|737717|0|37700000|0|20170329|"Pagado"|"PPD"
2017-01-02|1496609|4243470|59900000|59900000|5264237|5264237|737717|3420135|59900000|0|20170224|"Pagado"|"PPH"
2017-01-02|1735402|3368873|69990000|69990000|4857021|4857021|737717|7736034|69990000|0|20170530|"Pagado"|"PPD"
2017-01-02|1120368|1120368|41190000|41190000|2089754|2089754|737717|0|41190000|0|20170228|"Pagado"|"PPD"
2017-01-02|1265000|1265000|34600000|34600000|1658587|1658587|0|0|34600000|0|20170227|"Pagado"|"PPD"
2017-01-02|1573536|1716044|58990000|58990000|7979324|7979324|0|152971|58990000|0|20170331|"Pagado"|"PPD"
2017-01-02|2008695|2086806|26400000|26400000|1396244|1396244|737717|0|26400000|0|20170223|"Pagado"|"PPD"
2017-01-02|1368833|4098835|3e+09|3e+09|1188114|1188114|737717|39|3e+09|0|20170131|"Pagado"|"PPD"
2017-01-02|1032999|3429602|73900000|73900000|0|2134666|0|1877970|73900000|2134666|NA|"Avisado"|"PPD"
2017-01-02|1582087|4155421|65400000|65400000|1899715|1899715|737717|5196432|65400000|0|20170131|"Pagado"|"PPD"
2017-01-02|1265000|1265000|34190000|34190000|3833244|3833244|737717|0|34190000|0|20170131|"Pagado"|"PPD"
2017-01-02|2847000|5770200|101500000|101500000|8583343|8583343|1134909|434485|101500000|0|20170221|"Pagado"|"PPD"
2017-01-02|846059|846059|35400000|35400000|2631204|2631204|737717|0|35400000|0|20170421|"Pagado"|"PPD"
2017-01-02|4057460|4057460|3e+09|3e+09|2697514|2697514|0|0|3e+09|0|20170306|"Pagado"|"PPD"
2017-01-02|472697|1890800|65200000|65200000|3337688|3337688|737717|0|65200000|0|20170411|"Pagado"|"PPD"
2017-01-02|1743584|3065584|2e+09|2e+09|1556292|1556292|737717|642379|2e+09|0|20170129|"Pagado"|"PPD"
2017-01-02|2036738|2227305|68490000|68490000|634143|634143|737717|0|68490000|0|20170129|"Pagado"|"PPD"
2017-01-02|1865011|4332348|3e+09|3e+09|3467661|3467661|737717|0|3e+09|0|20170306|"Pagado"|"PPD"
2017-01-02|1315000|1315000|56950000|56950000|505197|505197|737717|1322802|56950000|0|20170706|"Pagado"|"PPD"
2017-01-02|1395000|1395000|47990000|47990000|1421007|1421007|737717|0|47990000|0|20170316|"Pagado"|"PPD"
2017-01-02|2819064|3090801|131400000|131400000|2116137|2116137|839233|800098|131400000|0|20170228|"Pagado"|"PPD"
2017-01-02|2606267|6342802|5e+07|5e+07|0|2134666|737717|2277970|5e+07|2134666|NA|"Avisado"|"PPD"
2017-01-02|3162082|3469406|137370000|137370000|9973819|9973819|3955491|0|137370000|0|20170424|"Pagado"|"PPD"
2017-01-02|15920416|8767482|217112000|217112000|0|91644|0|1132597|217112000|91644|NA|"Avisado"|"PPD"
2017-01-02|1534221|1534221|54990000|54990000|2588194|2588194|737717|0|54990000|0|20170325|"Pagado"|"PPD"
2017-01-02|1558493|4014706|3e+09|3e+09|8004311|8004311|1058348|0|3e+09|0|20170215|"Pagado"|"PPD"
2017-01-02|892510|892510|2e+09|2e+09|2603913|2603913|737717|0|2e+09|0|20170209|"Pagado"|"PPD"
2017-01-02|1965806|3550102|2e+09|2e+09|4168046|4168046|737717|1977970|2e+09|0|20170127|"Pagado"|"PPD"
2017-01-02|1315000|1315000|56390000|56390000|477587|477587|737717|7463297|56390000|0|20170214|"Pagado"|"PPD"
2017-01-02|1016217|1016217|25300000|25300000|2070153|2070153|0|0|25300000|0|20170227|"Pagado"|"PPD"
2017-01-02|2338086|3636620|2e+09|2e+09|6445397|6445397|866409|815556|2e+09|0|20170215|"Pagado"|"PPD"
2017-01-02|3385368|3385368|8.2e+07|8.2e+07|386744|386744|0|0|8.2e+07|0|20170518|"Pagado"|"PPD"
